Designator,Mid X,Mid Y,Rotation,Layer
_10,192.825,-124.0,0.0,top
_9,150.0,-77.25,0.0,top
_8,219.245,-72.275,0.0,top
_7,202.94,-108.475,0.0,top
_6,189.335,-72.675,0.0,top
_5,191.875,-72.675,0.0,top
_4,199.0,-72.75,0.0,top
_3,174.97,-66.35,0.0,top
_2,148.45,-72.565,90.0,top
,208.26,-72.275,0.0,top
1,148.45,-70.025,90.0,top
10,210.8,-72.275,0.0,top
11,200.25,-72.75,0.0,top
12,201.5,-72.75,0.0,top
13,202.75,-72.75,0.0,top
14,205.48,-108.475,0.0,top
15,208.02,-108.475,0.0,top
16,210.56,-108.475,0.0,top
17,221.785,-72.275,0.0,top
18,224.325,-72.275,0.0,top
19_2,195.365,-124.0,0.0,top
19,152.54,-77.25,0.0,top
2_2,148.45,-67.485,90.0,top
2,161.95,-66.696,90.0,top
20_2,197.905,-124.0,0.0,top
20,155.08,-77.25,0.0,top
21_2,200.445,-124.0,0.0,top
21,157.62,-77.25,0.0,top
22_2,202.985,-124.0,0.0,top
22,160.16,-77.25,0.0,top
23_2,205.525,-124.0,0.0,top
23,162.7,-77.25,0.0,top
24_2,208.065,-124.0,0.0,top
24,165.24,-77.25,0.0,top
25_2,210.605,-124.0,0.0,top
25,167.78,-77.25,0.0,top
26_2,213.145,-124.0,0.0,top
26,170.32,-77.25,0.0,top
27_2,215.685,-124.0,0.0,top
27,172.86,-77.25,0.0,top
3,148.45,-64.945,90.0,top
4,148.45,-62.405,90.0,top
5,148.45,-59.865,90.0,top
6,148.45,-57.325,90.0,top
7,161.95,-63.196,90.0,top
8,176.24,-66.35,0.0,top
9,177.51,-66.35,0.0,top
DADADA,172.895,-38.005,180.0,top
DAWDAD,172.945,-49.905,180.0,top
